Date,Open,High,Low,Close,Adj Close,Volume
19-09-2022,201500,202000,198000,201500,181443.0781,693456
20-09-2022,202500,202500,198500,198500,178741.6875,692217
21-09-2022,197000,197500,194500,197000,177391.0156,622478
22-09-2022,194500,197000,192500,193500,174239.4063,540322
23-09-2022,194000,195500,190500,190500,171538,680644
26-09-2022,187000,187500,180500,182500,164334.2969,1609911
27-09-2022,182500,186000,182000,186000,167485.9219,890612
28-09-2022,184000,184500,177500,179500,161632.9375,1163914
29-09-2022,182500,184000,181000,181500,163433.8438,714142
30-09-2022,181000,183000,174000,176500,158931.5469,1005125
04-10-2022,179000,183000,177500,179500,161632.9375,831935
05-10-2022,183500,184000,172000,177000,159381.7656,1144019
06-10-2022,178500,179500,175000,178000,160282.2344,611007
07-10-2022,176500,176500,174000,175500,158031.0781,608384
11-10-2022,170000,170500,166000,168000,151277.5938,1145441
12-10-2022,166500,169500,165500,168000,151277.5938,821753
13-10-2022,167500,168000,164500,164500,148125.9844,691537
14-10-2022,167000,168000,165000,167000,150377.1406,657249
17-10-2022,166000,168500,164000,167000,150377.1406,665601
18-10-2022,170500,171500,165000,168000,151277.5938,1286984
19-10-2022,166000,172500,166000,168000,151277.5938,1111330
20-10-2022,168500,169500,166500,168500,151727.8281,692203
21-10-2022,169000,169500,165500,167000,150377.1406,695788
24-10-2022,169000,169500,161500,161500,145424.6094,1443569
25-10-2022,162500,163000,160000,162500,146325.0781,967860
26-10-2022,163000,164000,160000,160500,144524.1563,1023919
27-10-2022,161000,163500,160500,162000,145874.8281,876823
28-10-2022,162000,166000,161500,164000,147675.7656,752111
31-10-2022,166000,166500,162000,164500,148125.9844,622380
01-11-2022,163500,165000,162000,164500,148125.9844,628185
02-11-2022,164500,165000,162000,165000,148576.2188,941434
03-11-2022,162500,163000,160500,162000,145874.8281,1008989
04-11-2022,162000,164000,161500,163000,146775.3125,522276
07-11-2022,166500,170000,165500,169500,152628.3125,1126417
08-11-2022,171500,172000,167500,170000,153078.5313,804889
09-11-2022,170500,172000,167000,169500,152628.3125,953568
10-11-2022,167000,173000,166500,169500,152628.3125,1018720
11-11-2022,174500,175500,171000,172000,154879.4688,980474
14-11-2022,174500,179500,174000,176000,158481.2969,1379189
15-11-2022,176500,177000,173000,174500,157130.6094,838806
16-11-2022,175000,175500,170500,172000,154879.4688,642717
17-11-2022,171000,172500,169500,170000,153078.5313,502812
18-11-2022,170000,173000,169500,169500,152628.3125,559141
21-11-2022,169500,170000,166500,168000,151277.5938,517728
22-11-2022,167500,168000,165000,165500,149026.4375,454542
23-11-2022,166500,167500,164000,166000,149476.6875,449446
24-11-2022,168000,168500,166500,167500,150827.3906,323362
25-11-2022,168000,168500,166000,166000,149476.6875,356637
28-11-2022,166000,169500,164000,167500,150827.3906,551024
29-11-2022,168000,169500,167000,169000,152178.0625,341427
30-11-2022,169000,170500,168500,169000,152178.0625,633720
01-12-2022,172000,173000,170500,171500,154429.2188,499538
02-12-2022,172000,172500,168500,169000,152178.0625,453689
05-12-2022,169500,170000,164500,165500,149026.4375,788455
06-12-2022,164000,165000,162500,164500,148125.9844,434862
07-12-2022,163500,165000,163000,163000,146775.3125,379112
08-12-2022,163500,163500,161000,162000,145874.8281,703551
09-12-2022,163500,164000,162000,162500,146325.0781,464194
12-12-2022,162000,163500,162000,163500,147225.5313,232963
13-12-2022,164000,164000,158000,159500,143623.6875,756323
14-12-2022,160000,165000,159500,163500,147225.5313,614474
